model,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,maetest,maestro,BuiJL06M,0.8900883915831068,0.8880414336880621,0.8890637344211019,0.9893899204244032,0.9471011426153196,0.9677837837837838,0.8187444739168878,0.7837494710114261,0.8008648648648649,0.9451812555260832,0.9047820567075752,0.9245405405405406,0.7793987621573828,0.7460854845535336,0.7623783783783783
OaF,maetest,maestro,ChenGuang03M,0.8680480244152903,0.9052857042768064,0.8862758931546044,0.9898024219247928,0.951593137254902,0.9703217744454856,0.8916507329509241,0.8572303921568627,0.8741018431740082,0.9646271510516252,0.9273897058823528,0.9456419868791004,0.869980879541109,0.8363970588235294,0.8528584817244612
OaF,maetest,maestro,ChenGuang06M,0.8279583486575947,0.9072693383038212,0.8658013340544437,0.9885265700483092,0.955075845974329,0.971513353115727,0.8759057971014492,0.8462660443407235,0.8608308605341246,0.9631642512077294,0.9305717619603268,0.9465875370919882,0.8556763285024155,0.8267211201866977,0.8409495548961423
OaF,maetest,maestro,Chon08M,0.8149428110308049,0.8470504574400678,0.8306864943036151,0.9693295292439372,0.868370607028754,0.916076845298281,0.7797788873038516,0.6985623003194888,0.7369396697000338,0.9259985734664764,0.829552715654952,0.8751263902932254,0.746077032810271,0.668370607028754,0.7050893158072127
OaF,maetest,maestro,Huang10M,0.7889224344962115,0.9366279137427412,0.8564534493950391,0.9609756097560976,0.9201307800093416,0.9401097590073968,0.6751219512195122,0.6464269033162073,0.6604628966833691,0.9160975609756098,0.8771602055114432,0.8962061560486758,0.6441463414634147,0.616767865483419,0.6301598663803388
OaF,maetest,maestro,Huang18M,0.9215684243776896,0.8318687071713706,0.8744242037121204,0.9654197477163984,0.8686888454011742,0.9145035022661724,0.7518486298390604,0.6765166340508806,0.7121961269056449,0.8993040452370596,0.8091976516634051,0.8518747424804285,0.7024793388429752,0.6320939334637965,0.665430572723527
OaF,maetest,maestro,KOLESO06M_18-1,0.8641733568304941,0.898347827070305,0.8809292783676639,0.9889205444761,0.9412473636637542,0.9644952145723988,0.9050332383665716,0.8614040373606509,0.8826798394566224,0.9661285216840771,0.9195540825549864,0.9422661315220748,0.8866729977841089,0.8439288942452546,0.864773078110528
OaF,maetest,maestro,KOLESO06M_18-4,0.8063607629963966,0.9010279243623572,0.8510699056977266,0.9951836243226972,0.957983193277311,0.9762291451350952,0.8801926550270921,0.8472906403940886,0.8634283183227521,0.959060806742926,0.9232106635757752,0.9407943304296472,0.8500903070439494,0.8183135323094756,0.8338993060682119
OaF,maetest,maestro,KabuliL10M,0.8681420220713518,0.8715517865249114,0.8698435627636698,0.9874567474048442,0.9465174129353234,0.966553767993226,0.778114186851211,0.7458540630182421,0.7616426756985605,0.9429065743944636,0.9038142620232172,0.9229466553767994,0.7430795847750865,0.7122719734660033,0.7273497036409823
OaF,maetest,maestro,KaszoS16M,0.7267379574981983,0.8652597402597403,0.7899723689643124,0.967741935483871,0.8515671200473093,0.9059452658068576,0.7163978494623656,0.6303962152572442,0.6706511481597988,0.8870967741935484,0.7806031933767001,0.8304498269896193,0.6505376344086021,0.5724423418095801,0.6089965397923874
OaF,maetest,maestro,LeungM06M,0.8463055376690277,0.8430089997394284,0.8446540522628607,0.9495060373216246,0.8321308321308322,0.8869520635734427,0.7848518111964874,0.6878306878306878,0.7331453473468341,0.893523600439078,0.783068783068783,0.8346577800563958,0.7409440175631175,0.6493506493506493,0.6921302230197386
OaF,maetest,maestro,LeungR02M,0.8616140713916193,0.9157960509872533,0.887879228457885,0.993996840442338,0.9650306748466256,0.9792996108949416,0.9364928909952608,0.90920245398773,0.9226459143968871,0.9592417061611376,0.9312883435582822,0.9450583657587548,0.9067930489731436,0.8803680981595092,0.8933852140077821
OaF,maetest,maestro,Levitsky05M,0.8298677600306382,0.882492453643812,0.8553714690413441,0.9890428617466968,0.9483930778739184,0.9682915286322764,0.8897840799226555,0.8532138442521632,0.8711153178734816,0.970029004189494,0.930160692212608,0.9496766051427667,0.8733483725427006,0.8374536464771323,0.8550244518062786
