piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
RANDOM_P01_D0,0.9301916308173641,0.8009765953864287,0.8607617841310052,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.7261904761904762,0.7261904761904762,0.7261904761904762,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.17857142857142858,0.17857142857142858,0.17857142857142858
RANDOM_P01_D1,0.9371388015816688,0.7774413323239969,0.8498528870908422,0.9523809523809523,0.9411764705882353,0.9467455621301775,0.7261904761904762,0.7176470588235294,0.7218934911242604,0.5357142857142857,0.5294117647058824,0.5325443786982248,0.4523809523809524,0.4470588235294118,0.44970414201183434
RANDOM_P01_D2,0.9318157642803957,0.7366916155075267,0.8228442607552132,1.0,0.8987341772151899,0.9466666666666668,0.7605633802816901,0.6835443037974683,0.72,0.5915492957746479,0.5316455696202531,0.56,0.4507042253521127,0.4050632911392405,0.4266666666666667
RANDOM_P02_D0,0.9003072559678563,0.8016668069702837,0.8481286041903235,0.9444444444444444,0.9329268292682927,0.9386503067484663,0.7345679012345679,0.725609756097561,0.7300613496932514,0.2037037037037037,0.20121951219512196,0.20245398773006137,0.14814814814814814,0.14634146341463414,0.14723926380368096
RANDOM_P02_D1,0.9338407494145199,0.6710421136774791,0.7809248696418517,0.9727891156462585,0.8461538461538461,0.9050632911392403,0.7074829931972789,0.6153846153846154,0.6582278481012659,0.6870748299319728,0.5976331360946746,0.639240506329114,0.5102040816326531,0.4437869822485207,0.4746835443037975
RANDOM_P02_D2,0.9075722092115535,0.7339337569967594,0.8115692479523455,0.9583333333333334,0.8625,0.9078947368421054,0.7013888888888888,0.63125,0.6644736842105262,0.7430555555555556,0.66875,0.7039473684210527,0.5347222222222222,0.48125,0.506578947368421
RANDOM_P03_D0,0.9414700707386262,0.7361372378358649,0.8262376705637664,0.9662447257383966,0.9087301587301587,0.9366053169734152,0.6835443037974683,0.6428571428571429,0.6625766871165644,0.16455696202531644,0.15476190476190477,0.15950920245398773,0.14345991561181434,0.1349206349206349,0.1390593047034765
RANDOM_P03_D1,0.9001497753369945,0.7084280542224467,0.7928635371350494,0.9336099585062241,0.872093023255814,0.9018036072144289,0.6431535269709544,0.6007751937984496,0.6212424849699398,0.6224066390041494,0.5813953488372093,0.6012024048096192,0.4730290456431535,0.4418604651162791,0.4569138276553106
RANDOM_P03_D2,0.923598379876359,0.6077430214616356,0.7330964467005077,0.94,0.7866108786610879,0.856492027334852,0.625,0.5230125523012552,0.5694760820045558,0.725,0.606694560669456,0.6605922551252847,0.485,0.40585774058577406,0.4419134396355353
RANDOM_P04_D0,0.924014215603317,0.6892198939661701,0.789530764225291,0.9446153846153846,0.908284023668639,0.9260935143288084,0.6123076923076923,0.5887573964497042,0.6003016591251886,0.1723076923076923,0.16568047337278108,0.1689291101055807,0.12615384615384614,0.12130177514792899,0.12368024132730016
