model,genre,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,Blues,genre,disklavier,Blues_01,0.7566659556313993,0.680560218715526,0.7165980657054115,0.9816059426954368,0.9107318674105678,0.9448416751787538,0.702865228157057,0.6521168362323597,0.6765406877766429,0.563494870887867,0.5228093206432557,0.5423901940755874,0.4036080650866643,0.3744666885461109,0.3884916581545795
OaF,Blues,genre,disklavier,Blues_02,0.8239728272204511,0.6334318239080143,0.7162466654580302,0.7579666160849773,0.8724890829694323,0.8112058465286237,0.4423368740515933,0.509170305676856,0.4734064149411287,0.5796661608497724,0.6672489082969433,0.6203816483962648,0.3376327769347496,0.388646288209607,0.3613479496548923
OaF,Blues,genre,disklavier,Blues_03,0.8506013757223884,0.718059878883921,0.7787311875475681,0.9878571428571428,0.9815471965933286,0.9846920612317552,0.5314285714285715,0.5280340667139816,0.5297258810964757,0.5310714285714285,0.5276792051100071,0.5293698825204699,0.2942857142857142,0.2924059616749467,0.2933428266286934
OaF,Blues,genre,disklavier,Blues_04,0.8194253517302242,0.7291081513696355,0.7716329058292382,0.9805217391304348,0.9309775429326288,0.955107572420803,0.7255652173913043,0.6889035667107001,0.7067592749449432,0.5627826086956522,0.5343461030383091,0.5481958326274776,0.4281739130434782,0.4065389696169088,0.4170760630188039
OaF,Blues,genre,disklavier,Blues_05,0.8371116416037917,0.7679310730670247,0.8010304465268282,0.9928837682141648,0.984543010752688,0.988695798886452,0.6729922060318536,0.6673387096774194,0.6701535346718407,0.4273127753303964,0.4237231182795699,0.4255103762443057,0.2815994578109115,0.2792338709677419,0.2804116753838366
OaF,Blues,genre,disklavier,Blues_06,0.7785827928038184,0.7203614375976629,0.7483414106243824,0.9782193351165456,0.936356986100951,0.9568304989721548,0.6927779900649599,0.6631309436722751,0.6776303494673893,0.4936950706916316,0.4725676664228237,0.4829003924500093,0.3542223920519679,0.3390636430138991,0.3464772939637451
OaF,Blues,genre,disklavier,Blues_07,0.9567050288922544,0.8376310210562767,0.893217087427609,0.894620486366986,0.9052945563012678,0.8999258710155671,0.7126013264554164,0.72110365398956,0.7168272794662712,0.7538688282977155,0.7628635346756152,0.7583395107487028,0.5976418570375829,0.604772557792692,0.6011860637509266
OaF,Blues,genre,disklavier,Blues_08,0.9846266370423526,0.8657598407998836,0.9213753026634384,0.9567430025445292,0.9353233830845772,0.9459119496855346,0.8040712468193384,0.7860696517412935,0.7949685534591193,0.5407124681933843,0.5286069651741293,0.5345911949685535,0.4516539440203562,0.4415422885572139,0.4465408805031446
OaF,Blues,genre,disklavier,Blues_09,0.8381555832495008,0.8530647798646026,0.845544464472349,0.9859088774072334,0.9905615856536102,0.9882297551789077,0.7167684358853922,0.7201510146295422,0.7184557438794728,0.5810239549084077,0.5837659273242095,0.582391713747646,0.3640206669798027,0.365738555922605,0.3648775894538607
OaF,Blues,genre,disklavier,Blues_10,0.8915771885968888,0.8500895338067305,0.8703392294951385,0.9901356350184956,0.9555731852439509,0.972547436415018,0.7883271681052199,0.7608092026973423,0.7743237787646347,0.6835182901767365,0.6596588655295518,0.6713766653209527,0.5688450472667489,0.548988496628322,0.5587404117884538
OaF,Classical,genre,disklavier,Classical_01,0.8351158935015116,0.8535685805422647,0.8442414184070854,0.9714070729872084,0.8794277929155313,0.9231319270647124,0.7246049661399548,0.6559945504087193,0.688594923131927,0.6012039127163281,0.5442779291553134,0.5713264211655346,0.4394281414597442,0.3978201634877384,0.4175902752949589
OaF,Classical,genre,disklavier,Classical_02,0.9221012683511436,0.8529986912002464,0.8862049382913545,0.982431807674526,0.952914798206278,0.9674482130662416,0.8358760980120203,0.810762331838565,0.8231277031641249,0.7993527508090615,0.7753363228699551,0.7871613931254268,0.6726768377253814,0.6524663677130045,0.6624174823582972
OaF,Classical,genre,disklavier,Classical_03,0.93897617204661,0.925262062070316,0.9320686737167806,0.9326805385556916,0.7612387612387612,0.8382838283828382,0.5336597307221542,0.4355644355644356,0.4796479647964796,0.2399020807833537,0.1958041958041958,0.2156215621562156,0.1199510403916768,0.0979020979020979,0.1078107810781078
OaF,Classical,genre,disklavier,Classical_04,0.8785174193407601,0.7881460454189506,0.8308816321055048,0.9808429118773946,0.7937984496124031,0.8774635818337617,0.7432950191570882,0.6015503875968993,0.6649528706083977,0.5306513409961686,0.4294573643410853,0.4747215081405312,0.4157088122605364,0.3364341085271318,0.3718937446443873
OaF,Classical,genre,disklavier,Classical_05,0.8819886662382427,0.7254569044224825,0.7961013165527061,0.986734693877551,0.9293608841902932,0.9571888146498392,0.7948979591836735,0.7486785199423354,0.771096263301163,0.8158163265306122,0.7683805862566074,0.791388270230141,0.6607142857142857,0.6222969726093225,0.6409304627567434
OaF,Classical,genre,disklavier,Classical_06,0.9501764037553072,0.8702352786540484,0.908450583439578,0.936145952109464,0.9715976331360948,0.9535423925667827,0.7206385404789054,0.7479289940828402,0.7340301974448316,0.6419612314709237,0.6662721893491125,0.653890824622532,0.508551881413911,0.527810650887574,0.5180023228803715
OaF,Classical,genre,disklavier,Classical_07,0.9373303538739284,0.8165161829559326,0.8727621107571499,0.8815513626834381,0.8581632653061224,0.8697001034126164,0.7306079664570231,0.7112244897959183,0.7207859358841779,0.7012578616352201,0.6826530612244898,0.6918304033092038,0.5932914046121593,0.5775510204081633,0.5853154084798345
OaF,Classical,genre,disklavier,Classical_08,0.8769171004583949,0.9056973198523512,0.8910748825642443,0.9688841201716738,0.9107413010590016,0.9389134390434104,0.8095493562231759,0.7609682299546142,0.7845074083701586,0.6089055793991416,0.5723651033787192,0.5900701845593969,0.5278969957081545,0.4962178517397882,0.5115674551598648
