piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
BuiJL06M,0.9633783293177993,0.9401620758071582,0.9516286257339492,0.9978438982319966,0.9792636479052053,0.9884664673216574,0.9361793876670979,0.9187473550571308,0.9273814609141392,0.9909443725743855,0.9724925941599661,0.981631781290047,0.9301423027166882,0.9128226830300465,0.92140111063648
ChenGuang03M,0.9614598896240509,0.9468326810861667,0.9540902260189005,0.9975170701427685,0.9846813725490197,0.9910576626580327,0.9677219118559901,0.9552696078431373,0.9614554424915203,0.9494103041589075,0.9371936274509803,0.9432624113475175,0.9208566108007449,0.9090073529411765,0.9148936170212767
ChenGuang06M,0.9373328771116096,0.9315130601244301,0.9344139068036965,0.9976303317535545,0.9824970828471412,0.9900058788947679,0.9490521327014217,0.9346557759626605,0.9417989417989417,0.98489336492891,0.9699533255542591,0.977366255144033,0.9372037914691943,0.9229871645274212,0.9300411522633746
Chon08M,0.9200123856707317,0.8803681401083998,0.8997537812170244,0.9964985994397759,0.9092651757188498,0.9508853992649516,0.8979341736694678,0.8193290734824281,0.8568326094219848,0.9837184873949579,0.8976038338658147,0.938690277313732,0.8872549019607843,0.8095846645367412,0.8466421650517874
Huang10M,0.9364748702404428,0.9312164694107926,0.9338382674302921,0.9959949937421777,0.9292386735170481,0.961459465990093,0.8901126408010013,0.8304530593180757,0.8592485199951673,0.983479349186483,0.9175618869687062,0.9493777938866738,0.8785982478097623,0.8197104156936011,0.8481333816600218
Huang18M,0.9728057161729321,0.8674147166883245,0.9170923000511503,0.994394135403191,0.9025440313111546,0.9462453836684448,0.9042690815006468,0.8207436399217222,0.8604842018875667,0.9780077619663649,0.8876712328767123,0.930652441526467,0.889391979301423,0.8072407045009785,0.8463274517849815
KOLESO06M_18-1,0.9588889016057592,0.9474380576507707,0.9531290884062752,0.9984548825710754,0.9734859897559506,0.9858123569794051,0.9752781211372065,0.9508888219343176,0.962929061784897,0.9938195302843016,0.968966556191624,0.9812356979405035,0.9712608158220025,0.9469719795119012,0.9589626239511823
KOLESO06M_18-4,0.9340961291868052,0.9109773526824978,0.9223919017636624,0.9985259433962265,0.9814546508258476,0.9899167032003507,0.9584316037735849,0.9420457838307736,0.9501680549466608,0.9949882075471698,0.977977397855694,0.9864094695309076,0.9548938679245284,0.9385685308606201,0.9466608212772175
KabuliL10M,0.9566719811688712,0.9198021039612103,0.9378748239082311,0.9957912457912458,0.9809286898839138,0.9883040935672515,0.9023569023569024,0.8888888888888888,0.8955722639933166,0.9852693602693603,0.9705638474295191,0.9778613199665832,0.8930976430976431,0.8797678275290216,0.8863826232247285
KaszoS16M,0.8773977911257508,0.8401205936920223,0.858354658326225,0.9939919893190922,0.8805440567711413,0.9338350580119161,0.8598130841121495,0.7616794795978711,0.8077767325180307,0.9759679572763685,0.8645771732702543,0.9169018501097522,0.8464619492656876,0.7498521584861029,0.7952336155534651
LeungM06M,0.9296004804569928,0.8893907303352019,0.909051176639305,0.9939377965208224,0.9069264069264069,0.9484406438631792,0.9003690036900369,0.8215488215488216,0.8591549295774649,0.9723247232472325,0.8872053872053872,0.9278169014084507,0.8816552451238798,0.8044733044733045,0.841297786720322
LeungR02M,0.9675390444274943,0.9669707573106723,0.9672548173982611,0.9996903065964695,0.9901840490797545,0.9949144706426261,0.9888510374729018,0.9794478527607362,0.9841269841269841,0.9978321461752865,0.9883435582822085,0.9930651872399445,0.9869928770517188,0.9776073619631902,0.9822777007243026
Levitsky05M,0.9516301796868418,0.9471275933112931,0.9493735479339389,0.9937616968184654,0.984548825710754,0.9891338093759702,0.9613225202744854,0.9524103831891224,0.9568457000931389,0.9900187149095446,0.980840543881335,0.9854082583048742,0.9578914535246413,0.9490111248454882,0.9534306116113008
Lin11M,0.9834097055889555,0.9371755961912895,0.9597361557243482,0.9944317894203999,0.9270882491741388,0.9595799242886799,0.9503923057453809,0.8860311467673431,0.9170838930272316,0.9746899519109087,0.9086833411986787,0.9405299792404445,0.932422171602126,0.8692779613025012,0.899743558432043
LuoJ09M,0.9608596426473417,0.9534003218751289,0.9571154488469096,0.9971298732360679,0.9672853828306265,0.9819809209751502,0.945228414254963,0.9169373549883991,0.9308679778589096,0.9734513274336283,0.9443155452436195,0.9586621128253445,0.9229849318344894,0.8953596287703016,0.908962430809092
MunA12M,0.9625338809824363,0.8528199479953219,0.904361542328544,0.9947124917382684,0.9397439900093663,0.9664472628030182,0.9243225380039656,0.8732438339057134,0.8980574731096483,0.9732319894249835,0.9194505151420543,0.9455771391876706,0.9044943820224719,0.8545113955666562,0.8787927436185583
Nikiforov14M,0.9628746357707784,0.923012336647491,0.942522198264885,0.9975124378109452,0.9639423076923077,0.980440097799511,0.9013266998341625,0.8709935897435898,0.8859005704971475,0.9958540630182421,0.9623397435897436,0.9788101059494702,0.8988391376451078,0.8685897435897436,0.8834555827220864
WongWY08M,0.9803974148039741,0.9574598411845907,0.9687928769522698,0.9967312631333177,0.9647457627118644,0.9804777216352779,0.9628764884426804,0.9319774011299435,0.9471750114836932,0.9736166238617792,0.9423728813559322,0.9577400091869546,0.9404622927854308,0.9102824858757063,0.925126320624713
YeF11M,0.9653027186089027,0.9081142799694085,0.9358356243455351,0.9954071718777601,0.9216552175335296,0.9571125265392781,0.9390567037625861,0.8694798822374877,0.9029299363057325,0.9791556262144497,0.9066077854105332,0.9414861995753716,0.9242183359830418,0.8557409224730128,0.8886624203821657
ZhangH05M,0.9403514600662103,0.9500689324462027,0.9451852205233404,0.9899780770435327,0.9841220423412205,0.9870413739266198,0.9555277168806765,0.9498754669987547,0.9526932084309134,0.9849671155652991,0.9791407222914073,0.9820452771272443,0.9502035703100532,0.9445828144458281,0.9473848555815769
