model,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,maetest,maestro,BuiJL06M,0.8987031421382025,0.8860799755722083,0.8923469191640935,0.9893899204244032,0.9471011426153196,0.9677837837837838,0.830238726790451,0.7947524333474397,0.8121081081081083,0.9451812555260832,0.9047820567075752,0.9245405405405406,0.7913351016799293,0.7575116377486246,0.774054054054054
OaF,maetest,maestro,ChenGuang03M,0.8777423138302985,0.9093815675454936,0.8932818699031879,0.9898024219247928,0.951593137254902,0.9703217744454856,0.8992989165073295,0.8645833333333334,0.8815995001562011,0.9646271510516252,0.9273897058823528,0.9456419868791004,0.8773103887826641,0.8434436274509803,0.8600437363323961
OaF,maetest,maestro,ChenGuang06M,0.8413321966729643,0.9027540853914806,0.8709615866238923,0.9885265700483092,0.955075845974329,0.971513353115727,0.8834541062801933,0.853558926487748,0.8682492581602373,0.9631642512077294,0.9305717619603268,0.9465875370919882,0.8629227053140096,0.8337222870478413,0.8480712166172107
OaF,maetest,maestro,Chon08M,0.8369785143077367,0.8396813750258125,0.8383277660925426,0.9693295292439372,0.868370607028754,0.916076845298281,0.7936875891583453,0.7110223642172524,0.7500842601954837,0.9258202567760342,0.8293929712460064,0.8749578699022581,0.7601640513552068,0.6809904153354632,0.7184024266936299
OaF,maetest,maestro,Huang10M,0.7960705634802182,0.9359918529855126,0.860379573779422,0.9607317073170732,0.9198972442783746,0.9398711524695776,0.6814634146341464,0.6524988323213452,0.6666666666666666,0.9158536585365854,0.8769266697804764,0.8959675495108566,0.6504878048780488,0.6228397944885568,0.6363636363636364
OaF,maetest,maestro,Huang18M,0.9253068456653604,0.8310330327958351,0.8756398048579883,0.9654197477163984,0.8686888454011742,0.9145035022661724,0.7525010874293171,0.6771037181996086,0.7128141738772146,0.8993040452370596,0.8091976516634051,0.8518747424804285,0.7031317964332319,0.6326810176125245,0.6660486196950969
OaF,maetest,maestro,KOLESO06M_18-1,0.8707021580537169,0.9036237296575452,0.8868575236720074,0.9889205444761,0.9412473636637542,0.9644952145723988,0.9088319088319088,0.8650195842121121,0.8863846866316765,0.9661285216840771,0.9195540825549864,0.9422661315220748,0.8895220006331117,0.8466405543838506,0.8675517134918184
OaF,maetest,maestro,KOLESO06M_18-4,0.8109155059894645,0.9002533725946723,0.853252333294391,0.9951836243226972,0.9577056778679026,0.9760850310008856,0.8813967489464178,0.8482039397450754,0.8644818423383526,0.959060806742926,0.9229432213209734,0.9406554472984942,0.8512944009632751,0.8192352259559675,0.8349571892530263
OaF,maetest,maestro,KabuliL10M,0.8844338232887027,0.8659341786433159,0.8750862395662272,0.9874567474048442,0.9465174129353234,0.966553767993226,0.7889273356401384,0.7562189054726368,0.7722269263336156,0.9429065743944636,0.9038142620232172,0.9229466553767994,0.7530276816608996,0.7218076285240465,0.7370872142252328
OaF,maetest,maestro,KaszoS16M,0.7516369163613688,0.8653444910596101,0.8044926946782217,0.967741935483871,0.8515671200473093,0.9059452658068576,0.7365591397849462,0.6481371969248965,0.6895250078641083,0.8870967741935484,0.7806031933767001,0.8304498269896193,0.6706989247311828,0.5901833234772325,0.6278703994966971
OaF,maetest,maestro,LeungM06M,0.848776499132055,0.8438391215117673,0.8463006091306106,0.949231613611416,0.8318903318903319,0.8866957190463983,0.7870472008781558,0.6897546897546898,0.7351961035631889,0.8932491767288694,0.7828282828282829,0.8344014355293515,0.7428649835345774,0.6510341510341511,0.6939246347090491
OaF,maetest,maestro,LeungR02M,0.8662491005815256,0.916177002632334,0.8905137812700837,0.993996840442338,0.9650306748466256,0.9792996108949416,0.9364928909952608,0.90920245398773,0.9226459143968871,0.9592417061611376,0.9312883435582822,0.9450583657587548,0.9067930489731436,0.8803680981595092,0.8933852140077821
OaF,maetest,maestro,Levitsky05M,0.8343534034960929,0.8831608137505678,0.8580636170435146,0.9890428617466968,0.9483930778739184,0.9682915286322764,0.8910731550112794,0.8544499381953028,0.8723773465846347,0.970029004189494,0.930160692212608,0.9496766051427667,0.8746374476313246,0.8386897404202719,0.8562864805174317
OaF,maetest,maestro,Lin11M,0.9333193531153418,0.9459248838645036,0.9395798410141316,0.9464767984286766,0.9096271826333177,0.9276861990133556,0.8458138963908667,0.8128834355828221,0.8290217783660211,0.8860790572059907,0.8515809344030203,0.8684875466249549,0.7962190031917505,0.7652194431335536,0.7804115028275779
OaF,maetest,maestro,LuoJ09M,0.912255560972487,0.937983868109389,0.924940833424871,0.963226571767497,0.9419953596287703,0.9524926686217008,0.8576512455516014,0.8387470997679815,0.8480938416422287,0.8951364175563464,0.8754060324825986,0.8851612903225807,0.7983392645314353,0.7807424593967517,0.7894428152492667
OaF,maetest,maestro,MunA12M,0.9315041824713004,0.7982488241182232,0.8597436922916414,0.981892722924496,0.8972837964408367,0.93768352365416,0.8534335497096003,0.7798938495160787,0.8150081566068516,0.9036556200888282,0.8257883234467687,0.8629690048939642,0.7909121967885206,0.7227599125819544,0.7553017944535073
OaF,maetest,maestro,Nikiforov14M,0.9303888455875984,0.8845415997694619,0.9068861454046638,0.994840928632846,0.9270833333333334,0.959767731231854,0.8641444539982803,0.8052884615384616,0.8336789713811696,0.9724849527085124,0.90625,0.9381999170468684,0.8460877042132416,0.7884615384615384,0.8162588137702198
OaF,maetest,maestro,WongWY08M,0.9353668251092028,0.9416935828570672,0.9385195416028966,0.96309963099631,0.943728813559322,0.9533158315260816,0.8556273062730627,0.8384180790960452,0.8469352813605753,0.8814575645756457,0.8637288135593221,0.8725031389110832,0.7834409594095941,0.7676836158192091,0.7754822508846022
OaF,maetest,maestro,YeF11M,0.9111146041512288,0.8709626640335437,0.8905863028932861,0.9771573604060914,0.8815832515538109,0.9269131556319862,0.8506163886874547,0.7674190382728164,0.806878761822872,0.9240391588107324,0.8336604514229637,0.8765262252794498,0.8080130529369108,0.7289826627412496,0.7664660361134995
OaF,maetest,maestro,ZhangH05M,0.8375999909740165,0.8897504734054028,0.8628879939094908,0.9832095576364224,0.9480074719800748,0.9652876842605802,0.8869874071682273,0.8552303860523038,0.8708194642574101,0.9570552147239264,0.9227895392278954,0.9396100808368998,0.8637391023571198,0.8328144458281445,0.8479949278808052
Kong,maetest,maestro,BuiJL06M,0.9130381724104266,0.951895062278146,0.9320618152146152,0.9888983774551664,0.98011002962336,0.9844845908607864,0.8958155422715628,0.8878544223444773,0.891817215727949,0.9816396242527754,0.9729157850190436,0.9772582359192348,0.8885567890691717,0.8806601777401608,0.8845908607863975
