model,genre,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
OaF,Blues,genre,disklavier,Blues_01,0.3212528278011631,0.1845178589934731,0.2994313209403161,0.2032153923081673,0.3032930891770963,0.6750990503494211,-0.0475885503246811,0.1663338262865084,0.2372374922183263
OaF,Blues,genre,disklavier,Blues_02,0.2273088830152678,0.2932798649934122,0.0317069644819095,0.1887283272426652,0.2930194962860861,0.8680083439520908,-0.5222329891494728,-0.1284510516841232,0.2904480633688593
OaF,Blues,genre,disklavier,Blues_03,0.1996026095411936,0.2517650372043503,0.1779667826387103,0.6008582139881592,0.5204587459580982,0.8046780713656245,0.1058137631502738,0.6316131119458943,0.2811548570957016
OaF,Blues,genre,disklavier,Blues_04,0.2948665931433352,0.2689681499299347,0.2698963952572232,0.3630306484758668,0.2528083606693601,0.7196159478312281,0.273710556113836,0.469757897600093,-0.0053180135599899
OaF,Blues,genre,disklavier,Blues_05,0.4194533778216243,0.4788219865746216,0.5256364834958553,0.5279498552024446,0.57476600566173,0.8791473247332728,0.6642259833516492,0.8626153613608166,0.5937846755172305
OaF,Blues,genre,disklavier,Blues_06,0.1914317224477315,0.2304181548006678,0.1054244671132034,0.4196936294421472,0.3044532363975236,0.6810697796983914,0.1495929936769368,0.4392225694191122,0.1760945930788731
OaF,Blues,genre,disklavier,Blues_07,0.2949620586887636,0.0899512461143336,0.016507701203892,0.128717212194956,-0.1067259613954793,0.880205279717621,0.4213379078320393,0.6404272052069393,-0.1664229131975179
OaF,Blues,genre,disklavier,Blues_08,0.6570792965658423,0.0717606579346524,0.7430538108075642,0.4999518420505323,0.6250429546543519,0.672903415267591,0.2943064480429548,0.4095407371013387,0.194182274066168
OaF,Blues,genre,disklavier,Blues_09,0.3992533019105365,0.6103870964278918,0.2765164602652503,0.4808116073666811,0.6953041574462054,0.9034684745735406,0.8911816465536689,0.9403874235889006,0.1491880163713804
OaF,Blues,genre,disklavier,Blues_10,0.1681461617764942,0.2680333408735732,0.035049001562372,0.3795763676846269,0.3301287322564741,0.6072810649627864,0.1337092775738796,0.2319896906371119,0.4182859731462526
OaF,Classical,genre,disklavier,Classical_01,0.2576716963660164,0.3545990036846885,0.3556635952650369,0.6964032963269187,0.4083930702394063,0.7314594935367049,0.0998782220362222,0.2231723063383548,0.0043303410000473
OaF,Classical,genre,disklavier,Classical_02,0.1930439154214871,0.1559616593335013,0.3123556754725011,0.4420216931693646,0.6355384129491499,0.8373418184244987,0.2297314244483572,0.6380144107879524,0.4102095363854164
OaF,Classical,genre,disklavier,Classical_03,0.6278099013396227,0.7337077037525855,0.1710932507690897,0.3728635935135582,0.5443277693601603,0.7422604782175132,0.3249402493210987,0.4385545273186043,0.1319347563751678
OaF,Classical,genre,disklavier,Classical_04,0.0015395579778304,0.1482838076234199,-0.0428426406386971,0.3370426815852831,0.332769621455743,0.9936083814130336,0.6228682121968161,0.8046184006991222,0.1114579519315743
