piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
BuiJL06M,0.2995155075346923,0.31879851208783105,0.2884426375081324,0.6562306559388909,0.4609164946408885,0.8890940203602736,0.2973237893784925,0.7058850667764812,0.5569954057553212
ChenGuang03M,0.2304308181701602,0.29673718280168093,0.2636372556741699,0.5048464757641051,0.11405061197026778,0.9914400494552016,0.8787461910221182,0.9813978745883541,0.5857666085364074
ChenGuang06M,0.6605346838508908,0.6154866538971746,0.6679807228682862,0.5308129384577692,0.37621671782224014,0.7788072745439093,0.39377972465099825,0.746392811971708,0.35276817005389755
Chon08M,0.3547006359533017,0.3694323812302737,0.2801498773439799,0.5346241576773095,0.3114462824192824,0.7716971713758662,0.12588657353827623,0.8097554208393234,0.3135163610914714
Huang10M,0.2501628783008148,0.1050002050799427,0.25656370461423395,0.4479892370270619,0.3474230171474219,0.6609796814778256,0.08113056321179861,0.5421194426978933,0.4606535428107131
Huang18M,0.4002719896221188,0.3225134737051377,0.3933432223353673,0.5590203618179055,0.46213652312219633,0.8598223594434385,0.3615898756939471,0.8061562714137837,0.3826778912249512
KOLESO06M_18-1,0.284188773280476,0.7324583658893478,0.1804042633449457,0.4440082910660257,0.13602906253034508,0.7155114557681383,0.1529631992305677,0.7191488813263446,0.5181672643788505
KOLESO06M_18-4,0.7794117919586896,0.5715829440170819,0.7010333620018683,0.40934596964308817,0.49849441370327097,0.8456565526011441,0.44691065626191656,0.771538502165183,0.4014593317562656
KabuliL10M,0.20923021206875045,0.6842708102187894,0.28059706263850553,0.6200897665740195,0.4394713356527302,0.7586115947785655,0.15529722911709182,0.7526589753867978,0.5904975133180272
KaszoS16M,0.647019361963067,0.4338682975930215,0.44586526080750133,0.2746669599088024,-0.023060730287965365,0.8432920189623376,0.1545390718684891,0.40796325257353167,0.2973151909718242
LeungM06M,0.5553913541718428,0.517485721260965,0.43281129529034224,0.5422407876728683,0.36451841650520184,0.787840669683127,0.3555503099467003,0.7430266767098724,0.30606848539888803
LeungR02M,0.14744558491120974,0.4280757355029185,0.20745404676284923,0.30819477954371094,0.09232254096824778,0.6398103503040009,0.11785069906178132,0.7022596132059267,0.5298711095871024
Levitsky05M,0.3037151584791524,0.047619151533359425,0.2596984096401406,0.4071772196009736,0.028502455298559767,0.7163349406675086,0.12444781216202329,0.7387871095677239,0.43530915907892914
Lin11M,0.3910680194464427,0.28174428434826676,0.3432649153871489,0.46348632550174357,0.2147442794349468,0.8469446551385473,0.34691826535352577,0.7317180259353603,0.37278796531707614
LuoJ09M,0.5548399910789962,0.22181241233131913,0.5172834234330521,0.5084824358928773,0.3480960714219436,0.942806999088074,0.47029841527512284,0.7639818493834147,0.5758329734463477
MunA12M,0.6066275111420535,0.4898071198234207,0.5020907963600338,0.6390079028266056,0.45212474198659486,0.9291905060483266,0.9033154932267696,0.9378137735071703,0.35594268458116257
Nikiforov14M,0.26036543765334574,0.34695036215451,0.3699745553969375,0.1408363616657771,0.2959287340272126,0.7237774979036841,0.17161008964037808,0.3968162695771549,0.5214471344672167
WongWY08M,0.27290222798914254,0.17420356420112967,0.2414752645115325,0.31593263260810295,0.18875033712760594,0.746243969918664,0.21216983445641716,0.7810206856839336,0.4644128710982891
YeF11M,0.29133450104792313,0.4839607795298744,0.29094170751015747,0.5597776682550276,0.30379731690674844,0.8523086976304202,0.3623192912872468,0.8819366090215076,0.2920135812750171
ZhangH05M,0.1765590173634794,0.3286512650850948,0.20963761009326987,0.35398806447785874,0.11173152223053152,0.6671658964526679,0.10187112847575747,0.7203742489077756,0.4470385494463712
