piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
Blues_01,0.3920739123204819,0.5383988073953561,0.4200194124437356,0.10216543458211597,0.011726920003753158,0.5505811409773114,0.13694367407080504,0.22016498187833994,0.310219520818572
Blues_02,0.4063964867859072,0.3860075650737392,0.36694744209431973,0.15713600067641728,0.3290048103821291,0.8751292856317604,-0.49704187521560966,-0.11285786684396931,0.7579577129565798
Blues_03,0.32040516738150926,0.6264198216412378,0.36197394554809526,0.21387451394930945,0.12113018159831886,0.5669245005170812,0.12393001303830056,0.3458645427395136,-0.04105888893897597
Blues_04,0.5645835348250394,0.38391850231740415,0.5335039394594343,0.21637322484050187,0.21041107544237989,0.7571165743649007,0.28298507917229787,0.46880327907237523,0.3419846875488235
Blues_05,0.5852852686092607,0.7780900611157178,0.6399628178561295,0.2987579839706105,0.3347609147903336,0.8429010612534701,0.6519537883312958,0.8526328869288478,0.5899543716652556
Blues_06,0.47111434592757284,0.5481930449069117,0.4712287615861126,0.3134213173626684,0.2781572300011881,0.3188988606135082,0.12683516725464283,0.4912051586572567,0.36534773581115415
Blues_07,0.9184614528294668,0.524067669501156,0.06368263816964405,0.249960201083466,-0.08369481283844939,0.6810444929319095,0.21307072396843843,0.37591771719207745,-0.024850514960484432
Blues_08,0.7525510298115964,0.8024278800947245,0.7548633508267004,0.10871276667982638,0.41589212559140293,0.5081934079184997,0.16711147623591532,0.3419362324637962,0.48283043056721775
Blues_09,0.9010904840121324,0.8933476722326169,0.8293679765884857,0.5300098838695786,0.49655763582714013,0.6197530183167373,0.14775936741513485,0.3286937012414073,0.13008957759818815
Blues_10,0.20556486485039618,0.25166058585266626,0.11404864332477166,0.3332369430290451,0.08167952511954943,0.609614780053714,0.14020843793255072,0.25462548350244496,0.39177085864141303
Classical_01,0.5624912171855707,0.3448346282974636,0.6850935394476075,0.34244704300385603,0.2922354560426005,0.7616975963717508,0.10238719861600995,0.2134873827067645,0.19789650100140244
Classical_02,0.20002532666028583,0.22412964642767966,0.38922142583398794,0.28673977928557415,-0.1863524554143439,0.8299728586292427,0.256561936477875,0.5975018009846427,0.3628269298515391
Classical_03,0.9012881577355781,0.8187556413151518,0.5989788921174186,0.35233460719377035,0.33940454630210604,0.7422604782175132,0.32691570357154254,0.4285576324673916,0.16830546126439985
Classical_04,0.25120839627083036,0.8762309633968326,0.2756279393447949,0.2559113539551363,0.3692958334583539,0.7283754244887978,0.1399978481538089,0.3530559591336271,0.36959641355166756
Classical_05,0.4091601737381262,0.40486447241709644,0.4189123882123612,0.5725211353645479,0.43653310968675557,0.31027892025967224,0.1343511091818867,0.23738225017683098,0.3125790688839001
Classical_06,0.8078061958071127,0.4457413034767695,0.5049414270747091,0.5134260646453882,0.31309145970393365,0.5626754584608932,0.11629975665090794,0.47428250325773696,0.4511930780245083
