model,polyphony,dynamics,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
OaF,11,2,random,disklavier,RANDOM_P11_D2,0.222121565505524,0.0061469832830305,0.1197025384394879,-0.0330124281960489,0.2632421035422217,0.1069425641243551,0.2286321553433483,0.1011496128293837,0.0698271521430162
OaF,12,0,random,disklavier,RANDOM_P12_D0,0.1188043571072348,0.029188835158321,0.1857207579476422,-0.0945414602412602,0.335144484741091,0.3131201258030925,0.3762251760382414,0.7789295650331397,0.1714396346429577
OaF,12,1,random,disklavier,RANDOM_P12_D1,0.220613738636852,0.0333809364609755,0.1731245376836877,0.0456270515467186,0.2626266224617621,-0.0605673803449535,0.1071001997817193,-0.1043312029776808,0.1942042758319693
OaF,12,2,random,disklavier,RANDOM_P12_D2,0.1476588056136374,-0.0033399345745717,0.093674863218979,-0.049944422101172,0.2215327831776307,0.1177974240978886,0.1662460999661589,-0.0841852789554748,0.1201221278333084
OaF,13,0,random,disklavier,RANDOM_P13_D0,0.2602929199850601,0.0405982574410883,0.2110851498632029,0.0127639201828646,0.2664783740664444,0.4378453831838245,0.3501234224864941,0.7839241946301945,-0.0016835414828969
OaF,13,1,random,disklavier,RANDOM_P13_D1,0.1723724930579067,0.078670201964674,0.1163172498479928,0.2030075589103372,0.2662465741202175,0.1189196401572157,0.1615480574920856,-0.3092811494767798,0.0592577128382296
OaF,13,2,random,disklavier,RANDOM_P13_D2,0.2151610007571632,-0.0018625269848343,0.1058612203597798,-0.0659628432599284,0.1990418114353563,0.042909620079224,0.1275840656257228,0.3088660883879328,0.152471514840855
OaF,14,0,random,disklavier,RANDOM_P14_D0,0.1899982365895484,0.1402653824497264,0.1751763288450181,0.0059194488647074,0.2691794555034143,0.3696681439689783,0.454009875440988,0.7443238042534742,-0.2193393006438784
OaF,14,1,random,disklavier,RANDOM_P14_D1,0.2144541921628122,0.0869481271625311,0.1042233347616902,0.2331169774777473,0.2705489527052354,0.0412730685813655,0.1203201964647946,0.002041616666642,0.2189090794460384
OaF,14,2,random,disklavier,RANDOM_P14_D2,0.2171383530455957,0.0917176567199353,0.1034587784216729,-0.1208783178131903,0.1738154793010755,0.1252357945411793,0.159998125657558,0.3445994428270366,0.0445958683932464
