piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
BuiJL06M,0.3031748754440203,0.1957880583843601,0.3088521809944285,0.0901923284740975,0.4312642666305221,0.7069577338737721,0.1069117414883901,0.534779485662906,0.6634491118664557
ChenGuang03M,0.2195147966006859,0.1204679430568745,0.1782460685314616,0.165744115407998,0.3053249250979057,0.5319971103910418,0.0932434876528447,0.4556017640576971,0.6145067932398183
ChenGuang06M,0.3288376358151597,0.4665602423067536,0.4846966746455121,0.0199365757260987,0.3597804050397444,0.4426785246415503,0.2052638232571892,0.404518602148835,0.4942247417362588
Chon08M,0.3004232881933219,0.2116298864326959,0.2670761174853653,0.0931057856637789,0.1230903403895064,0.2137757752190528,0.1929387329952157,0.3922774230159064,0.2316170405101898
Huang10M,0.1572713206069988,0.1250603663351814,0.1791253800621539,0.0623767687447012,0.0162532599368916,0.5176128046001423,0.1215116601771471,0.5388695199769439,0.5012746964362249
Huang18M,0.3557009432777347,0.2138698510093175,0.4695319746148916,0.1606233646422713,0.2920242690413745,0.6582860531559716,0.2905399264217592,0.6474860717137357,0.4613288403884981
KOLESO06M_18-1,0.2202098029035062,0.1732736585587661,0.1262895428042809,0.1017383265901871,0.1594997728616341,0.4961918888926651,0.0877747445669445,0.2799396753030176,0.6290019150075935
KOLESO06M_18-4,0.2697138485394845,0.3013914818325034,0.1641698714219059,0.0397903168659304,0.3266479489608512,0.5983666180799999,0.2889557193841625,0.4032181266671031,0.4028867028788658
KabuliL10M,0.1885557857241854,0.1252262751269935,0.2391385452552903,-0.2263750866705998,0.2548919089997163,0.6906637254028032,0.1054311854026449,0.2994279451531101,0.756453466513642
KaszoS16M,0.6464142227487357,0.3577065215457879,0.3694275267256808,0.1299116118854757,0.0906062602067756,0.9561782914196724,0.6027301425000533,0.8804822301257406,0.2426740282868436
LeungM06M,0.2309022857058022,0.2077150400694842,0.1378684645993527,0.0100691006440854,0.0640700151568572,0.4025781515116822,0.1654736522290158,-0.4872977640423632,0.2839493413817021
LeungR02M,0.1558285120053848,0.2723399356639621,0.198151259723167,0.1906808354419509,0.2786337794784606,0.4864300842255596,0.1127156448448933,0.3904561560257488,0.6924438105332906
Levitsky05M,0.1844342618010052,0.2446050395727551,0.1595971173542818,0.2813599596181204,0.3098427200904756,0.5509147416546013,0.0929900671248531,0.2172351050439286,0.568058724462748
Lin11M,0.2758891336906738,0.1403576070934513,0.3355930540642629,0.0606398716073978,0.0018028064694171,0.4899186333139655,0.1914862001935906,0.5108915664281228,0.5743101685594144
LuoJ09M,0.3048217196184856,0.0995240550392371,0.3548823797107628,0.031232579969101,0.09568810890841,0.5523759116032221,0.2024255028351625,0.688628518229706,0.620016082970283
MunA12M,0.6848671045444846,0.4245534087504533,0.6440708202199463,-0.0886826856013924,0.6391057696617117,0.4784238732415572,0.0781730079940193,0.2465303195764037,0.3990453710120217
Nikiforov14M,0.2541571822935461,0.2500693501688463,0.3959460229631267,0.0024564689849865,0.406938724468091,0.4909732149353504,0.1799118132005227,0.2225716753699659,0.6526809091999238
WongWY08M,0.2548873491211327,0.3038240000111378,0.3103651677902759,-0.0278729968654907,0.0622285968143853,0.5732433620124834,0.1579346820677149,0.5271214333193986,0.6884084585746941
YeF11M,0.1479503857122835,0.302827089096866,0.1024154441880342,-0.1003124941198889,0.2249432260973913,0.695178813968612,0.269350050935722,0.2738344783044635,0.3146809222144716
ZhangH05M,0.1627754962277872,0.149334778731456,0.1457448332549193,0.2563376245310129,0.1459130811610556,0.6906515881667519,0.4652469467903805,0.1914054086653614,0.6120213433387488
