piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
BuiJL06M,0.2970442537154458,0.2364949030264778,0.2562999395033687,0.6708379364145309,0.4363668632182633,0.8760457561092687,0.2893846455931158,0.7111230185217186,0.5315717079184743
ChenGuang03M,0.2274827517893395,0.4969538594629641,0.2947396676357434,0.5213750936764411,0.2728789218543713,0.9786718802266252,0.8534236416613393,0.9789540277234684,0.5928555591822352
ChenGuang06M,0.7075030740761319,0.6011998735749023,0.7293362110557333,0.6274496623798572,0.5299681697020137,0.786142286151205,0.4182432939099863,0.7659312855295454,0.2837039959513568
Chon08M,0.3684677603259529,0.3561289068821457,0.2805261682591204,0.5134052890556939,0.3422385802442355,0.7626837292907764,0.1662810452599238,0.8313985025092616,0.2689938636490892
Huang10M,0.2909536329240554,0.0904890197319865,0.2456928858928846,0.43041323191422,0.3640856816847646,0.5562592349623159,0.1672282639107477,0.6711925180161047,0.4610480496165314
Huang18M,0.4632742608046021,0.3965524852179922,0.4848131840080406,0.5722769091640423,0.5572910314948141,0.7982211733403813,0.2386073889596022,0.6023839285778085,0.3576828322405795
KOLESO06M_18-1,0.2846332493987319,0.5127748139347783,0.2802517072149043,0.4450778388463719,0.0822520863660982,0.9697323933456662,0.8738094845416355,0.97621925444834,0.5653742546561769
KOLESO06M_18-4,0.7375802312561988,0.4462252276648234,0.2699169098574058,0.4197762264607294,0.3511621268982123,0.7936405325097725,0.429702442259537,0.7730258314255194,0.4069076540022005
KabuliL10M,0.2371359822613584,0.2060650400095634,0.224794598629507,0.4950614688152628,0.4219886304333393,0.7565971117069872,0.1355064458380408,0.7400326359806791,0.5611133641114342
KaszoS16M,0.7127375832205228,0.4653547737357376,0.5073184285544471,0.3111183440310807,-0.0020928618386035,0.5401522713259775,0.1593592122685519,0.1154896382941585,0.3257318729117077
LeungM06M,0.6391193841631547,0.4775390522025148,0.5038140372098404,0.5938460797219435,0.3452004327824822,0.8024632605612028,0.3609972567735355,0.7682718695532795,0.3031562246198099
LeungR02M,0.1517278144740708,0.377692178576371,0.2171043156280341,0.3544113279373709,0.1844962608262818,0.8191055092254873,0.3266075660549182,0.7707735602559532,0.6013942276216042
Levitsky05M,0.2909456364056162,0.232644687392479,0.2597643306626037,0.4419735300586918,0.1221349851628804,0.87036975377271,0.3374302664256016,0.7777973238317315,0.3848291831227239
Lin11M,0.4547976844244615,0.1873141420967325,0.4134264961180983,0.5515357482544527,0.2565383971596842,0.8736704878210366,0.3559429201126753,0.7372161805618582,0.3392087410564589
LuoJ09M,0.6292302564041056,0.2096794726406154,0.5975032506007664,0.5754452646514278,0.3657073794899704,0.8001287320080048,0.2866523739327852,0.7671135991679899,0.593216603901475
MunA12M,0.6504178286679851,0.524045365656617,0.6114105174700462,0.6884505425098867,0.4600182779844202,0.9168731129302604,0.4577549797685001,0.4318521413303795,0.3413241488680572
Nikiforov14M,0.3116898854993654,0.4963177338103811,0.3772578264359163,0.1120087942520886,0.3178081129327206,0.9277969296215434,0.2756439237479162,0.491341218035888,0.5670636956711175
WongWY08M,0.221092276738126,0.257816237153901,0.222556511505022,0.6114194630328654,0.1475466294612823,0.7700576356904598,0.2184004579552234,0.7775298247845536,0.5563181945281939
YeF11M,0.3727278279853929,0.5728924132740294,0.2798460290279823,0.5147102980084459,0.3182027566684865,0.8007456096987041,0.3712272675416343,0.8872527814620331,0.2617147187932619
ZhangH05M,0.1388919047341944,0.4193329848692951,0.1682039550055721,0.407647174639802,0.1684319348145922,0.9091748929654544,0.8136453574589403,0.9783149256783656,0.5327487628770537
