piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
BuiJL06M,0.2349502760480411,0.1470545892675267,0.2018986245744125,0.7127550715973174,0.4275215344923498,0.8887003465370557,0.2936254067251316,0.7178393732672289,0.541164951718212
ChenGuang03M,0.1126768507280026,0.2054420408641198,0.1585989305338726,0.7193623765667702,0.4399895626638677,0.8605328966766989,0.8310659488824376,0.7392373590464272,0.5742866325018294
ChenGuang06M,0.7081061256310205,0.2855516229583145,0.8012069983614009,0.7829253928908372,0.5420408687301754,0.7352924645134732,0.3708628804670824,0.7230081441298118,0.2548753533967748
Chon08M,0.3083264596098297,0.211557647629311,0.2123292067631073,0.5471437908339981,0.3464226314446303,0.7278581182241901,0.1583497204877721,0.8241851821613859,0.2178964816903261
Huang10M,0.2313212487602209,0.0583332353761281,0.2636399270948195,0.5010700533546489,0.3674247708138636,0.7018309442714578,0.0321296459232591,0.6499621336853908,0.4483641458847001
Huang18M,0.2724181357590047,0.1693540027543957,0.3436851073685028,0.6796145021348143,0.6952807977464901,0.8606536513436436,0.3516784282086047,0.7852767615380309,0.366338014443671
KOLESO06M_18-1,0.47019982914399,0.1455777616247013,0.4488492493818756,0.7715988084639791,0.3902348263301805,0.9711098472340516,0.819466711633731,0.9581359460858464,0.5196208663180695
KOLESO06M_18-4,0.5204864081126888,0.2352184266873433,0.2271911746494085,0.7157348235179701,0.3755310939425117,0.7945211274157388,0.4161318543176498,0.7580244681898541,0.2742077273183679
KabuliL10M,0.1263939327263423,0.192070018575768,0.1296197597963877,0.5816027899209997,0.4021438746977672,0.9063575054361952,0.313149498984004,0.7956362132176306,0.5895053649894181
KaszoS16M,0.5659474021515867,0.3247232945243993,0.2994877372372083,0.1442856729713238,-0.0137012761601612,0.8568805020182626,0.1470083305093795,0.3945571069884893,0.2782974831447076
LeungM06M,0.4776278568527491,0.3043062038749257,0.2980750948677944,0.5650469224132836,0.2995226244967346,0.6699800889050094,0.324926526857468,0.6096224249211215,0.2349995401611659
LeungR02M,0.1424892614020934,0.2753669638794162,0.1746216613391224,0.6663104954729613,0.4481354751582639,0.8142235126036597,0.2925627775284454,0.7249844098716083,0.3997990574149404
Levitsky05M,0.2992268316639552,0.0818487883235015,0.216154379578093,0.7186650299092695,0.4383066682711222,0.8531349669895674,0.2627714125627058,0.7544869625630349,0.1733579489541817
Lin11M,0.4365455025582118,0.07422739821656,0.4831038393763988,0.5849070639207111,0.3594988830629939,0.8139478479581199,0.3403547072370489,0.7312204574859574,0.2594387752830638
LuoJ09M,0.5342173092510218,0.0762415514005759,0.5854093893031348,0.4447339709443589,0.4014938046464488,0.6002495774465852,0.242225315039245,0.6051238717352045,0.5037304802726053
MunA12M,0.6250731153851651,0.2835599671643845,0.6116148367206865,0.6739135896324768,0.5940975738169202,0.9096940543656816,0.470555527593139,0.417783639376302,0.2583378718408348
Nikiforov14M,0.4223541482970968,0.02889186076262,0.431731152979768,0.6569758091779717,0.1427425884899404,0.935442314921064,0.28585029535048,0.5688594766555105,0.5287994915974259
WongWY08M,0.3631427209963577,0.0218407457479544,0.3988388342876316,0.372773891474004,0.3535426925083729,0.9013409460162712,0.2791938455547905,0.752977679148339,0.4870182605857592
YeF11M,0.2176327761889109,0.2301882300906402,0.2245361798350238,0.5956582847610761,0.3634485183854908,0.7997329199443365,0.350681534741871,0.866192942390879,0.269846904615492
ZhangH05M,0.2215298734367266,0.108028021191742,0.2174396723917394,0.7654610161687628,0.4674607487409931,0.8324966138963581,0.7933663023602312,0.8009226258443564,0.5217267364953997
