mds_file,title,genre,path_in_adl_piano_midi,duration_sec,longest_gap_sec,total_gap_sec,tempo_bpm,num_notes,num_unique_pitches,num_unique_velocities
Classical_01,Lyric Pieces_ Bk V Op 54 V      Scherzo,Classical,Classical/Classical/Leif Ove Andsnes/Lyric Pieces_ Bk V Op 54 V      Scherzo.mid,177.94198161328126,3.452343750000012,29.92463583984372,217.96163203317337,1479,58,102
Classical_02,The Seasons Op 37b IX    Septembre (La chasse),Classical,Classical/Classical Performance/Mikhail Pletnev/The Seasons Op 37b IX    Septembre (La chasse).mid,163.63044456250012,0.3521122500000047,31.102623000000136,204.02859399054728,2232,53,70
Classical_03,Storia DAmore (Live),Classical,Classical/Operatic Pop/Sarah Brightman/Storia DAmore (Live).mid,234.66678400000004,2.6666680000000005,18.090286822916728,104.9999475000261,1002,41,21
Classical_04,Silent Night (Karaoke Version),Classical,Classical/Operatic Pop/Mark Masri/Silent Night (Karaoke Version).mid,203.0475467416667,0.0166666666666799,2.4800230583339062,136.76814153304042,647,35,24
Classical_05,Etude In C Minor,Classical,Classical/Ballroom/Roger Williams/Etude In C Minor.mid,154.037939,0.5735291249999932,4.776675812500043,264.8508606943085,2082,65,103
Classical_06,Etude in E_ Op 10_ No 3,Classical,Classical/Classical Piano/Van Cliburn/Etude in E_ Op 10_ No 3.mid,154.04166666666666,3.0,21.66666666666661,120.0,845,34,55
Classical_07,Pictures at an Exhibition Bydlo,Classical,Classical/Classical Performance/Mikhail Pletnev/Pictures at an Exhibition Bydlo.mid,171.1951833625,0.0,0.0,93.60528770146524,980,57,93
Classical_08,Concerto in A minor F VII 5 - RV 461 I Allegro non molto,Classical,Classical/Classical/Philharmonia Orchestra/Concerto in A minor F VII 5 - RV 461 I Allegro non molto.mid,189.4531196083984,2.1875,11.5289306640625,202.3783783783784,2137,47,47
Classical_09,Handel in the Strand,Classical,Classical/Classical Piano/Martin Jones/Handel in the Strand.mid,155.5082856367188,2.5,26.12820034960944,235.85750314910752,2585,62,95
Classical_10,Liebesbotschaft_ S 560_ No 10 from Schwanengesang,Classical,Classical/Classical Performance/Arcadi Volodos/Liebesbotschaft_ S 560_ No 10 from Schwanengesang.mid,180.81739678958328,0.0677769166666735,3.3124023937498874,207.49074989735507,2202,56,92
